timestamp,symbol,strategy,action,price,quantity,order_type,tp_price,sl_price
2025-11-21 17:03:46.189673,IREN,MA_Crossover_50_200,BUY,43.0,10,BRACKET,44.72,42.14
2025-11-21 17:03:50.737340,MSTZ,VWAP_Trend,BUY,14.33,10,BRACKET,14.9,14.04
2025-11-21 17:03:58.361158,BBAI,MA_Crossover_50_200,BUY,5.37,10,BRACKET,5.58,5.26
2025-11-21 17:04:03.037542,UVIX,VWAP_Trend,BUY,13.07,10,BRACKET,13.59,12.81
2025-11-21 17:04:04.915471,CIFR,MA_Crossover_50_200,BUY,14.25,10,BRACKET,14.82,13.96
2025-11-21 17:04:18.491227,ORCL,MA_Crossover_50_200,BUY,200.84,10,BRACKET,208.87,196.82
2025-11-21 17:05:06.853909,MSFT,MA_Crossover_50_200,BUY,476.74,10,BRACKET,495.81,467.21
2025-11-21 17:06:31.112357,MSTZ,VWAP_Trend,BUY,14.15,10,BRACKET,14.72,13.87
2025-11-21 17:06:40.916946,UVIX,VWAP_Trend,BUY,12.73,10,BRACKET,13.24,12.48
2025-11-21 17:07:37.521846,IONQ,MA_Crossover_50_200,BUY,MARKET,10,MARKET,,
2025-11-21 17:07:39.560677,IONQ,VWAP_Trend,SELL,40.11,10.0,LIMIT,,
2025-11-21 17:10:10.260060,IONQ,MA_Crossover_50_200,BUY,40.74,10,BRACKET,42.37,39.93
2025-11-21 17:13:16.813081,TSLL,MA_Crossover_50_200,BUY,15.77,10,BRACKET,16.4,15.45
2025-11-21 17:13:31.218390,TSLA,MA_Crossover_50_200,BUY,397.89,10,BRACKET,413.81,389.93
2025-11-21 17:13:39.317246,ONDS,MA_Crossover_50_200,BUY,6.19,10,BRACKET,6.44,6.07
2025-11-21 17:13:49.175587,PLTR,MA_Crossover_50_200,BUY,155.16,10,BRACKET,161.37,152.06
2025-11-21 17:14:14.578022,BBAI,MA_Crossover_50_200,BUY,5.3,10,BRACKET,5.51,5.19
2025-11-21 17:14:34.224921,CIFR,MA_Crossover_50_200,BUY,14.13,10,BRACKET,14.7,13.85
2025-11-21 17:14:54.294895,RGTI,MA_Crossover_50_200,BUY,22.25,10,BRACKET,23.14,21.8
2025-11-21 17:15:25.167476,IONQ,MA_Crossover_50_200,BUY,40.39,10,BRACKET,42.01,39.58
2025-11-21 17:15:33.232809,ACHR,MA_Crossover_50_200,BUY,6.85,10,BRACKET,7.12,6.71
2025-11-21 17:15:48.636676,SOXL,MA_Crossover_50_200,BUY,29.82,10,BRACKET,31.01,29.22
2025-11-21 17:16:27.534829,AMD,MA_Crossover_50_200,BUY,201.48,10,BRACKET,209.54,197.45
2025-11-21 17:16:50.973122,IONZ,VWAP_Trend,BUY,6.8,10,BRACKET,7.07,6.66
2025-11-21 17:16:59.310363,UVIX,VWAP_Trend,BUY,13.41,10,BRACKET,13.95,13.14
2025-11-21 17:17:31.373641,QBTS,MA_Crossover_50_200,BUY,19.28,10,BRACKET,20.05,18.89
2025-11-21 17:17:46.664829,HOOD,MA_Crossover_50_200,BUY,107.17,10,BRACKET,111.46,105.03
2025-11-21 17:17:52.543812,PLTZ,VWAP_Trend,BUY,8.89,10,BRACKET,9.25,8.71
2025-11-21 17:18:06.835813,SOUN,MA_Crossover_50_200,BUY,10.8,10,BRACKET,11.23,10.58
2025-11-21 17:18:10.008660,IONQ,MA_Crossover_50_200,BUY,40.18,10,BRACKET,41.79,39.38
2025-11-21 17:18:16.126333,QID,VWAP_Trend,BUY,MARKET,10,MARKET,,
2025-11-21 17:18:32.008854,SOXL,MA_Crossover_50_200,BUY,29.55,10,BRACKET,30.73,28.96
2025-11-21 17:19:03.781525,BMNR,MA_Crossover_50_200,BUY,25.56,10,BRACKET,26.58,25.05
2025-11-21 17:19:31.564705,BBAI,MA_Crossover_50_200,BUY,5.29,10,BRACKET,5.5,5.18
2025-11-21 17:19:38.341661,IONZ,VWAP_Trend,BUY,6.72,10,BRACKET,6.99,6.59
2025-11-21 17:19:44.819113,UVIX,VWAP_Trend,BUY,13.29,10,BRACKET,13.82,13.02
2025-11-21 17:19:46.700256,IREN,MA_Crossover_50_200,BUY,42.85,10,BRACKET,44.56,41.99
2025-11-21 17:20:06.553092,CIFR,MA_Crossover_50_200,BUY,14.14,10,BRACKET,14.71,13.86
2025-11-21 17:20:08.938582,RGTI,MA_Crossover_50_200,BUY,22.07,10,BRACKET,22.95,21.63
2025-11-21 17:20:24.680464,NVDX,MA_Crossover_50_200,BUY,16.48,10,BRACKET,17.14,16.15
2025-11-21 17:20:32.666790,HOOD,MA_Crossover_50_200,BUY,106.19,10,BRACKET,110.44,104.07
2025-11-21 17:20:38.561079,PLTZ,VWAP_Trend,BUY,8.87,10,BRACKET,9.22,8.69
2025-11-21 17:20:49.188293,TSLQ,VWAP_Trend,BUY,28.36,10,BRACKET,29.49,27.79
2025-11-21 17:21:00.450585,QID,MA_Crossover_50_200,SELL,22.47,10.0,LIMIT,,
2025-11-21 17:21:02.387296,QID,VWAP_Trend,BUY,22.95,10,BRACKET,23.87,22.49
2025-11-21 17:21:16.373857,SOXS,VWAP_Trend,BUY,5.07,10,BRACKET,5.27,4.97
2025-11-21 17:21:28.364765,TSLL,MA_Crossover_50_200,BUY,15.49,10,BRACKET,16.11,15.18
2025-11-21 17:21:40.677008,TSLA,MA_Crossover_50_200,BUY,393.87,10,BRACKET,409.62,385.99
2025-11-21 17:21:44.728514,SOFI,MA_Crossover_50_200,BUY,24.55,10,BRACKET,25.53,24.06
2025-11-21 17:21:52.974072,PLTR,MA_Crossover_50_200,BUY,153.66,10,BRACKET,159.81,150.59
2025-11-21 17:22:00.917941,BMNR,MA_Crossover_50_200,BUY,25.21,10,BRACKET,26.22,24.71
2025-11-21 17:22:03.585643,ONDS,MA_Crossover_50_200,BUY,6.25,10,BRACKET,6.5,6.12
2025-11-21 17:22:22.804745,BBAI,MA_Crossover_50_200,BUY,5.27,10,BRACKET,5.48,5.16
2025-11-21 17:22:39.219220,IREN,MA_Crossover_50_200,BUY,42.35,10,BRACKET,44.04,41.5
2025-11-21 17:22:48.870995,CIFR,MA_Crossover_50_200,BUY,14.05,10,BRACKET,14.61,13.77
2025-11-21 17:23:03.224438,ORCL,MA_Crossover_50_200,BUY,200.25,10,BRACKET,208.26,196.25
2025-11-21 17:24:03.089589,SOXL,MA_Crossover_50_200,BUY,29.8,10,BRACKET,30.99,29.2
2025-11-21 17:24:22.905779,SOFI,MA_Crossover_50_200,BUY,24.45,10,BRACKET,25.43,23.96
2025-11-21 17:24:38.634958,ONDS,MA_Crossover_50_200,BUY,6.12,10,BRACKET,6.36,6.0
2025-11-21 17:25:16.334162,UVIX,VWAP_Trend,BUY,13.03,10,BRACKET,13.55,12.77
2025-11-21 17:26:17.973236,TSLS,VWAP_Trend,BUY,5.99,10,BRACKET,6.23,5.87
2025-11-21 17:26:25.968511,QID,VWAP_Trend,BUY,22.85,10,BRACKET,23.76,22.39
2025-11-21 17:26:33.001119,BE,MA_Crossover_50_200,BUY,82.25,10,BRACKET,85.54,80.61
2025-11-21 17:28:09.660528,IREN,MA_Crossover_50_200,BUY,41.75,10,BRACKET,43.42,40.91
2025-11-21 17:28:15.226259,CIFR,MA_Crossover_50_200,BUY,13.76,10,BRACKET,14.31,13.48
2025-11-21 17:28:26.198834,RGTI,MA_Crossover_50_200,BUY,21.83,10,BRACKET,22.7,21.39
2025-11-21 17:28:58.168499,HYG,MA_Crossover_50_200,BUY,81.01,10,BRACKET,84.25,79.39
2025-11-21 17:29:09.204617,BE,MA_Crossover_50_200,BUY,79.84,10,BRACKET,83.03,78.24
2025-11-21 17:29:27.222983,SOXS,VWAP_Trend,BUY,5.08,10,BRACKET,5.28,4.98
2025-11-21 17:29:31.116473,SOXL,MA_Crossover_50_200,BUY,29.14,10,BRACKET,30.31,28.56
2025-11-21 17:29:39.100033,TSLL,MA_Crossover_50_200,BUY,15.63,10,BRACKET,16.26,15.32
2025-11-21 17:29:54.923305,SOFI,MA_Crossover_50_200,BUY,24.54,10,BRACKET,25.52,24.05
2025-11-21 17:30:04.712572,AMD,MA_Crossover_50_200,BUY,199.3,10,BRACKET,207.27,195.31
2025-11-21 17:30:07.329960,ONDS,MA_Crossover_50_200,BUY,6.13,10,BRACKET,6.38,6.01
2025-11-21 17:30:11.490870,INTC,MA_Crossover_50_200,BUY,33.69,10,BRACKET,35.04,33.02
2025-11-21 17:30:20.854426,NVD,VWAP_Trend,BUY,9.29,10,BRACKET,9.66,9.1
2025-11-21 17:30:24.731596,BBAI,MA_Crossover_50_200,BUY,5.18,10,BRACKET,5.39,5.08
2025-11-21 17:30:44.032210,IONZ,VWAP_Trend,BUY,7.01,10,BRACKET,7.29,6.87
2025-11-21 17:30:46.085398,MARA,MA_Crossover_50_200,BUY,10.1,10,BRACKET,10.5,9.9
2025-11-21 17:31:15.665665,QBTS,MA_Crossover_50_200,BUY,19.26,10,BRACKET,20.03,18.87
2025-11-21 17:31:36.503314,SOUN,MA_Crossover_50_200,BUY,10.69,10,BRACKET,11.12,10.48
2025-11-21 17:31:39.058808,NVDX,MA_Crossover_50_200,BUY,16.34,10,BRACKET,16.99,16.01
2025-11-21 17:31:43.143243,HOOD,MA_Crossover_50_200,BUY,105.23,10,BRACKET,109.44,103.13
2025-11-21 17:31:52.772489,ACHR,MA_Crossover_50_200,BUY,6.74,10,BRACKET,7.01,6.61
2025-11-21 17:32:07.369648,NVDA,MA_Crossover_50_200,BUY,177.54,10,BRACKET,184.64,173.99
